CSC21_CSCID	GAIA3_source_id	p_i	p_any	separation_from_ngc2516
2CXO_J075629.6-605413 	5290716602714076800	1.0	8.556489e-12	13.33286
2CXO_J075634.8-604802 	5290723925638255104	1.0	0.8986671	11.184249
2CXO_J075646.3-604857 	5290722929205920896	0.9981325	0.9436769	9.826725
2CXO_J075646.8-604322 	5290736363863548032	0.9999999	0.8818952	10.774503
2CXO_J075647.4-605651 	5290719115275116288	0.9788792	0.6866363	13.0825615
2CXO_J075648.3-604630 	5290724166156426112	1.0	0.9553484	9.657855
2CXO_J075706.2-604337 	5290725987222563584	1.0	0.4915018	8.567913
2CXO_J075711.2-603308 	5290739937276199168	0.771767	0.2749218	16.325483
2CXO_J075714.2-604052 	5290737940113833344	1.0	0.9878003	9.575989
2CXO_J075716.6-604711 	5290724681552584192	1.0	0.1861408	6.1427164
2CXO_J075718.3-604816 	5290723135364356864	1.0	0.0	5.883282
2CXO_J075719.0-605627 	5290718565519306752	1.0	0.5186925	10.246878
2CXO_J075719.7-604846 	5290723135364356736	1.0	0.9911143	5.752782
2CXO_J075720.8-604402 	5290725849783612288	1.0	0.9878315	6.834994
2CXO_J075723.2-604938 	5290720107406838400	1.0	0.9800374	5.5227065
2CXO_J075724.2-603947 	5290738356724884096	0.6467062	0.9379566	9.698965
2CXO_J075725.2-604647 	5290724715912323840	1.0	0.993365	5.176761
2CXO_J075725.3-604458 	5290725089571714816	1.0	3.350653e-13	5.8640804
2CXO_J075726.1-604540 	5290725025149969920	1.0	0.9523164	5.444616
2CXO_J075726.8-603947 	5290726605692967936	0.7215796	0.6984116	9.54089
2CXO_J075728.4-605129 	5290719836829549056	1.0	0.9572148	5.813402
2CXO_J075729.2-604608 	5290724818991539840	1.0	0.9945297	4.9167094
2CXO_J075729.4-605210 	5290719080910693888	0.9999931	0.0	6.1566696
2CXO_J075729.5-603706 	5290738769045173376	0.9805141	0.871745	11.787538
2CXO_J075730.7-604720 	5290724647192847616	1.0	0.9922053	4.4080644
2CXO_J075730.9-604832 	5290721623535946752	1.0	0.9958889	4.3697987
2CXO_J075732.7-604111 	5290726326522349568	1.0	0.0	7.9611654
2CXO_J075736.1-604812 	5290721726615163648	1.0	0.9925288	3.7110524
2CXO_J075736.1-605024 	5290721344358033152	1.0	0.9701725	4.4156876
2CXO_J075737.5-605435 	5290718737318003840	0.9985573	0.8041161	7.4699435
2CXO_J075739.5-604413 	5290725433169248384	1.0	0.0	5.011362
2CXO_J075739.8-604639 	5290721829694303360	1.0	0.9962253	3.5196612
2CXO_J075742.7-604420 	5290725231308404864	1.0	0.9979955	4.6738334
2CXO_J075742.8-604540 	5290724780334062336	1.0	0.0	3.7075157
2CXO_J075743.2-604509 	5290725158291187968	1.0	0.9910593	4.0142565
2CXO_J075743.5-604945 	5290721451738985600	1.0	0.9912274	3.3042595
2CXO_J075744.0-604727 	5290721760974904448	1.0	0.9990781	2.7885785
2CXO_J075746.0-604550 	5290722203353684096	1.0	2.921646e-06	3.3026948
2CXO_J075746.0-604839 	5290721550516653952	1.0	0.9972901	2.5788693
2CXO_J075747.0-604239 	5290725471825124480	1.0	0.9825503	5.8444777
2CXO_J075747.3-604000 	5290726502618649344	1.0	0.971244	8.334335
2CXO_J075748.5-604855 	5290721486096996736	1.0	0.400053	2.3796492
2CXO_J075749.6-604535 	5290722207648937984	1.0	0.0	3.1622787
2CXO_J075750.6-604939 	5290720695823013376	1.0	0.0	2.5540152
2CXO_J075751.1-604311 	5290725364449817088	1.0	0.996847	5.1548047
2CXO_J075751.7-604319 	5290725364449817088	1.0	0.0	5.0192323
2CXO_J075752.4-605808 	5290670698103520256	1.0	0.07920773	10.277448
2CXO_J075753.2-604317 	5290725368743020416	1.0	0.9969879	4.9810205
2CXO_J075753.3-604611 	5290722168993940992	1.0	0.9987312	2.4214969
2CXO_J075753.7-604248 	5290725364449644416	1.0	0.0	5.422245
2CXO_J075754.5-604321 	5290725368747361920	1.0	0.0	4.8645883
2CXO_J075754.5-604508 	5290722242011168512	1.0	0.9753814	3.2128172
2CXO_J075755.4-604827 	5290721864054120320	1.0	0.999312	1.4281272
2CXO_J075755.5-604039 	5290725677984929152	1.0	0.9913863	7.465292
2CXO_J075756.1-604222 	5290725403107101440	1.0	0.9984229	5.7703176
2CXO_J075756.1-604238 	5290725368747362816	1.0	0.9970738	5.507252
2CXO_J075756.8-605033 	5290720657163454080	1.0	0.9950846	2.8207326
2CXO_J075757.3-604415 	5290722345090384768	1.0	0.9993739	3.8976552
2CXO_J075757.7-605339 	5290673348103622272	1.0	0.9665311	5.7572613
2CXO_J075758.0-604544 	5290722173291770880	1.0	0.9989973	2.484754
2CXO_J075758.3-605247 	5290673416818436480	0.5270807	0.9760848	4.8982205
2CXO_J075759.4-605652 	5290672179872595840	1.0	0.9552827	8.917199
2CXO_J075800.3-604043 	5290819441411741184	1.0	0.9729573	7.321369
2CXO_J075800.4-605212 	5290720386585450240	0.7149312	0.9912668	4.270515
2CXO_J075802.4-604647 	5290721898415604992	1.0	0.9989721	1.312057
2CXO_J075802.5-604846 	5290721108139876864	1.0	0.9979941	0.9151728
2CXO_J075803.5-604652 	5290721898415604992	1.0	0.0	1.1874417
2CXO_J075803.8-604112 	5290819445709845760	1.0	0.0	6.791303
